,sentences,ingredients
287,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
288,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
289,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
290,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
291,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
292,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
293,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
294,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
295,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
296,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
297,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
298,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
299,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
300,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
301,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
302,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
303,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
304,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
305,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
306,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
307,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
308,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
309,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
310,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
311,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
312,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
313,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
314,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
315,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
316,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
317,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
318,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
319,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
320,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
321,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
322,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
323,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
324,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
325,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
326,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
327,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
328,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
329,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
330,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
331,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
332,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
333,"What's a simple recipe for chicken, rice, and vegetables?","['chicken', 'rice', 'vegetables']"
334,"What can I make with ground turkey, black beans, and salsa?","['ground turkey', 'black beans', 'salsa']"
335,"What recipes can I make with eggplant, tomatoes, and mozzarella?","['eggplant', 'tomatoes', 'mozzarella']"
336,"What can I cook with tilapia, lemon, and butter?","['tilapia', 'lemon', 'butter']"
337,"What's a good recipe for beef, broccoli, and soy sauce?","['beef', 'broccoli', 'soy sauce']"
338,"What can I make with chicken, potatoes, and green beans?","['chicken', 'potatoes', 'green beans']"
339,"What desserts can I make with strawberries, cream cheese, and puff pastry?","['strawberries', 'cream cheese', 'puff pastry']"
340,"What can I cook with shrimp, garlic, and white wine?","['shrimp', 'garlic', 'white wine']"
341,"What's a good vegetarian recipe with chickpeas, spinach, and feta cheese?","['chickpeas', 'spinach', 'feta']"
342,"What can I make with ground beef, pasta, and Alfredo sauce?","['ground beef', 'pasta', 'Alfredo']"
343,"What can I make with chicken, spinach, and feta cheese?","['chicken', 'spinach', 'feta']"
344,"What's a simple recipe for fish, potatoes, and carrots?","['fish', 'potatoes', 'carrots']"
345,"What desserts can I make with bananas, chocolate chips, and walnuts?","['bananas', 'chocolate chips', 'walnuts']"
346,"What can I cook with pork chops, apples, and cinnamon?","['pork chops', 'apples', 'cinnamon']"
347,"What recipes can I make with tofu, broccoli, and teriyaki sauce?","['tofu', 'broccoli', 'teriyaki sauce']"
348,"What can I make with ground turkey, quinoa, and black beans?","['ground turkey', 'quinoa', 'black beans']"
349,"What's a good recipe for salmon, asparagus, and lemon pepper?","['salmon', 'asparagus', 'lemon pepper']"
350,"What can I cook with chicken, broccoli, and garlic?","['chicken', 'broccoli', 'garlic']"
351,"What's a good vegetarian dish with quinoa, black beans, and avocado?","['quinoa', 'black beans', 'avocado']"
352,"What can I make with ground beef, potatoes, and carrots?","['ground beef', 'potatoes', 'carrots']"
353,"What desserts can I make with raspberries, whipped cream, and shortcake?","['raspberries', 'whipped cream', 'shortcake']"
354,"What can I cook with shrimp, garlic, and tomato sauce?","['shrimp', 'garlic', 'tomato sauce']"
355,"I have pork tenderloin, sweet potatoes, and carrots. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'carrots']"
356,"What's a simple recipe for chicken, rice, and broccoli?","['chicken', 'rice', 'broccoli']"
357,"What can I make with ground turkey, black beans, and corn tortillas?","['ground turkey', 'black beans', 'corn tortillas']"
358,"What recipes can I make with eggplant, tomatoes, and ricotta cheese?","['eggplant', 'tomatoes', 'ricotta']"
359,"What can I cook with tilapia, lemon, and herbs?","['tilapia', 'lemon', 'herbs']"
360,"What's a good recipe for beef, broccoli, and garlic sauce?","['beef', 'broccoli', 'garlic sauce']"
361,"What can I make with chicken, potatoes, and carrots?","['chicken', 'potatoes', 'carrots']"
362,"What desserts can I make with strawberries, whipped cream, and pound cake?","['strawberries', 'whipped cream', 'pound cake']"
363,"What can I cook with shrimp, garlic, and butter sauce?","['shrimp', 'garlic', 'butter sauce']"
364,"What's a good vegetarian recipe with chickpeas, spinach, and tomatoes?","['chickpeas', 'spinach', 'tomatoes']"
365,"What can I make with ground beef, pasta, and marinara sauce?","['ground beef', 'pasta', 'marinara']"
366,"What can I make with chicken, broccoli, and Alfredo sauce?","['chicken', 'broccoli', 'Alfredo']"
367,"What's a simple recipe for fish, rice, and vegetables?","['fish', 'rice', 'vegetables']"
368,"What desserts can I make with blueberries, yogurt, and granola?","['blueberries', 'yogurt', 'granola']"
369,"What can I cook with pork chops, apples, and onions?","['pork chops', 'apples', 'onions']"
370,"What recipes can I make with tofu, bell peppers, and soy sauce?","['tofu', 'bell peppers', 'soy sauce']"
371,"What can I make with ground turkey, bell peppers, and rice?","['ground turkey', 'bell peppers', 'rice']"
372,"What's a good recipe for salmon, asparagus, and potatoes?","['salmon', 'asparagus', 'potatoes']"
373,"What can I cook with chicken, mushrooms, and cream sauce?","['chicken', 'mushrooms', 'cream sauce']"
374,"What's a good vegetarian dish with quinoa, black beans, and corn?","['quinoa', 'black beans', 'corn']"
375,"What can I make with ground beef, potatoes, and onions?","['ground beef', 'potatoes', 'onions']"
376,"What desserts can I make with raspberries, whipped cream, and chocolate?","['raspberries', 'whipped cream', 'chocolate']"
377,"What can I cook with shrimp, garlic, and olive oil?","['shrimp', 'garlic', 'olive oil']"
378,"I have pork tenderloin, sweet potatoes, and green beans. What's for dinner?","['pork tenderloin', 'sweet potatoes', 'green beans']"
